id,category,price_tier,neighbourhood,opening_time,closing_time,average_rating,good_for_kids
1,American,expensive,Chinatown,10:49,19:00,2.04,1
2,Thai,expensive,Gramercy,9:53,7:45,3.32,1
3,Japanese,medium,Chinatown,10:24,15:17,3.38,1
4,French,cheap,Long Island City,8:36,13:47,1.2,0
5,French,medium,Upper West Side,11:27,13:51,4.41,1
6,Mexican,expensive,Koreatown,11:32,3:05,4.94,1
7,American,cheap,Gramercy,12:28,16:31,1.12,1
8,Somali,expensive,Union Square,11:22,10:34,2.86,1
9,Mediterranean,cheap,Upper West Side,10:17,12:03,4.28,0
10,American,expensive,Brooklyn Heights,13:11,6:51,4.85,0
11,Mediterranean,cheap,Brooklyn Heights,8:52,9:47,3.94,1
12,Indian,cheap,Chinatown,13:36,8:18,4.29,0
13,Mexican,expensive,Hell's Kitchen,8:43,18:44,4.24,1
14,Ethiopian,cheap,Upper West Side,9:32,12:13,3.81,1
15,French,medium,Park Slope,10:04,5:32,4.34,0
16,Somali,expensive,Koreatown,12:21,10:36,2.0,1
17,Burmese,medium,East Village,13:26,14:04,2.15,0
18,Mediterranean,cheap,Long Island City,13:23,6:06,3.44,0
19,Ethiopian,expensive,Harlem,13:52,10:02,3.83,1
20,Greek,medium,Greenwich Village,12:08,13:22,3.15,1
21,Indian,expensive,Upper East Side,12:44,16:35,3.69,0
22,Greek,medium,East Village,11:44,7:00,4.33,0
23,Burmese,cheap,Upper West Side,10:39,17:55,4.39,0
24,Somali,cheap,Greenwich Village,11:04,15:15,4.87,1
25,Thai,cheap,FiDi,12:19,9:14,4.3,1
26,Burmese,medium,Greenwich Village,10:05,18:16,4.38,1
27,Greek,medium,Chelsea,10:45,18:20,4.66,1
28,Mexican,cheap,FiDi,13:53,8:27,3.4,1
29,Thai,medium,SoHo,13:24,13:57,4.72,0
30,Thai,cheap,Park Slope,11:30,3:25,2.57,1
31,Burmese,expensive,East Village,13:06,13:25,2.0,1
32,Thai,medium,Astoria,9:14,13:33,1.57,0
33,Mexican,medium,Astoria,10:53,15:11,3.94,0
34,Indian,cheap,Harlem,13:01,18:25,2.54,0
35,Somali,medium,Koreatown,11:18,5:52,1.68,1
36,French,cheap,Upper East Side,11:43,7:39,4.45,1
37,Japanese,expensive,Gramercy,12:49,7:43,2.34,1
38,Somali,medium,Greenwich Village,11:15,18:49,2.16,0
39,Mediterranean,medium,Brooklyn Heights,9:44,16:34,1.46,0
40,Mediterranean,expensive,Long Island City,8:49,5:37,1.83,0
41,Greek,cheap,Astoria,8:37,5:15,4.41,0
42,Burmese,cheap,Chelsea,10:10,11:55,2.88,1
43,Mexican,cheap,Union Square,11:04,19:38,3.84,0
44,Thai,medium,Long Island City,12:20,17:57,4.73,0
45,Thai,expensive,Chelsea,10:27,4:26,4.04,1
46,Greek,expensive,FiDi,11:25,9:38,4.48,1
47,American,cheap,Harlem,8:34,9:56,2.95,0
48,Greek,expensive,Union Square,13:03,2:24,3.19,0
49,French,cheap,Brooklyn Heights,9:27,14:27,2.94,0
50,Chinese,medium,Upper East Side,12:31,15:06,4.89,1
51,Mexican,expensive,Harlem,13:08,12:51,4.87,1
52,Indian,medium,Tribeca,12:39,17:20,4.53,0
53,Greek,expensive,Hell's Kitchen,10:56,6:53,3.51,1
54,American,cheap,Tribeca,12:47,13:18,2.04,1
55,Mediterranean,medium,Koreatown,9:07,13:19,4.7,1
56,Indian,medium,Park Slope,12:19,15:00,3.5,1
57,Chinese,medium,Hell's Kitchen,11:49,15:05,1.26,0
58,Mediterranean,expensive,Brooklyn Heights,11:13,9:52,3.59,1
59,Somali,medium,Brooklyn Heights,9:54,2:16,1.65,1
60,Burmese,expensive,Chinatown,10:47,8:27,3.74,1
61,Somali,expensive,SoHo,11:56,16:33,3.91,1
62,Burmese,medium,Tribeca,9:39,17:18,4.97,0
63,French,medium,Gramercy,10:19,7:10,3.07,1
64,French,cheap,East Village,11:38,17:30,4.56,0
65,Indian,expensive,Tribeca,9:38,4:13,3.01,1
66,Thai,expensive,Upper West Side,12:24,7:10,2.39,1
67,American,medium,Chelsea,8:40,13:42,4.68,1
68,Indian,cheap,Harlem,12:29,12:34,1.32,1
69,Somali,medium,East Village,11:30,8:17,1.56,0
70,Thai,cheap,Greenwich Village,13:30,5:31,3.24,1
71,Thai,expensive,Park Slope,10:37,19:08,3.83,0
72,American,cheap,Gramercy,12:33,2:53,3.46,1
73,Indian,expensive,Chinatown,13:25,11:23,4.15,0
74,Thai,cheap,Upper East Side,13:45,10:15,2.48,1
75,Chinese,expensive,Brooklyn Heights,10:44,11:41,2.76,1
76,American,cheap,Union Square,10:40,15:12,1.67,1
77,Somali,cheap,Greenwich Village,9:47,2:37,2.76,1
78,Burmese,medium,Upper East Side,13:13,5:16,4.8,1
79,Thai,cheap,Chelsea,12:24,19:21,4.35,1
80,Somali,expensive,Astoria,11:33,4:22,3.13,1
81,Mediterranean,expensive,Hell's Kitchen,13:47,3:31,1.14,1
82,Greek,expensive,FiDi,8:44,13:40,3.09,1
83,Italian,medium,FiDi,12:26,4:24,3.09,1
84,Italian,cheap,Dumbo,9:21,11:53,1.92,0
85,Mediterranean,expensive,Brooklyn Heights,8:52,16:38,2.24,1
86,Somali,expensive,Upper East Side,9:36,14:52,1.47,1
87,Italian,cheap,Union Square,11:20,5:01,2.9,1
88,American,cheap,Park Slope,10:21,5:20,3.3,1
89,Burmese,cheap,Dumbo,8:39,11:16,2.92,0
90,Thai,cheap,Chinatown,10:57,3:41,3.54,0
91,French,cheap,Hell's Kitchen,10:29,19:53,2.38,1
92,Thai,medium,FiDi,9:19,19:48,3.35,1
93,Burmese,medium,Park Slope,13:29,17:38,4.37,1
94,Indian,cheap,FiDi,8:34,15:17,1.16,1
95,Chinese,expensive,Hell's Kitchen,12:48,15:14,1.58,0
96,Greek,expensive,Greenwich Village,9:51,10:14,1.99,1
